Gene name;Cell type
Bank1;B cells
Bcl11a;B cells
Bcl11b;B cells
Cd19;B cells
Cd22;B cells
Cd37;B cells
Cd79a;B cells
Cd79b;B cells
Ebf1;B cells
Herpud1;B cells
Igha;B cells
Ighd;B cells
Ighm;B cells
Igkc;B cells
Iglc2;B cells
Iglc3;B cells
Jchain;B cells
Mef2c;B cells
Mzb1;B cells
Pax5;B cells
Ralgps2;B cells
Vpreb3;B cells
Hfe;B cells
Wdfy4;B cells
Krt14;Cholangiocyte
Krt19;Cholangiocyte
Sptbn1 ;Cholangiocyte
Krt9;Cholangiocyte
Krt7;Cholangiocyte
Mki67;Cholangiocyte
Sox9;Cholangiocyte
Sox4;Cholangiocyte
Hnf1b;Cholangiocyte
Spp1;Cholangiocyte
Erbb2;Cholangiocyte
Erbb3;Cholangiocyte
Fgfr2;Cholangiocyte
Fgfr3;Cholangiocyte
Sorl1;Cholangiocyte
Wwc1;Cholangiocyte
Cftr;Cholangiocyte
Pkd2;Cholangiocyte
Pkhd1l1;Cholangiocyte
Lrp2;Cholangiocyte
Cdh11;Cholangiocyte
Igfbp5;Cholangiocyte
Wt1;Cholangiocyte
Igfbp6;Cholangiocyte
Wnt2b;Cholangiocyte
Bmp4;Cholangiocyte
Sulf2;Cholangiocyte
Gas1;Cholangiocyte
Gpc3;Cholangiocyte
Vim;Cholangiocyte
Fgf1;Cholangiocyte
Onecut1;Cholangiocyte
Klra2;Cholangiocyte
Ccl5;Cholangiocyte
Pla2g7;Cholangiocyte
Clec12a;Cholangiocyte
Itgal;Cholangiocyte
Folr2;Cholangiocyte
Cybb;Cholangiocyte
Cd38;Cholangiocyte
Epcam;Cholangiocyte
Cd117;Cholangiocyte
Cd133;Cholangiocyte
Dlk1;Cholangiocyte
Slc22a3;Cholangiocyte
Pou5f1;Cholangiocyte
Cd34;Cholangiocyte
Tpm2;Cholangiocyte
Ace2;Cholangiocyte
H2-Aa;Dendritic cell
H2-Eb1;Dendritic cell
H2-Ab1;Dendritic cell
Tyrobp;Dendritic cell
Pld4;Dendritic cell
Cd74;Dendritic cell
Siglech;Dendritic cell
Cd209a;Dendritic cell
Ckb;Dendritic cell
Clec10a;Dendritic cell
H2-DMa;Dendritic cell
H2-DMb1;Dendritic cell
H2afy;Dendritic cell
Ifi30;Dendritic cell
Plbd1;Dendritic cell
Selplg;Dendritic cell
Cd80;Dendritic cell
Cd86;Dendritic cell
Slc40a1;Dendritic cell
Sepp1;Dendritic cell
Cd163;Dendritic cell
Aif1;Dendritic cell
Itgax;Dendritic cell
Itgae;Dendritic cell
Itgam;Dendritic cell
Cd34;Dendritic cell
Adam19;Dendritic cell
Ap1s3;Dendritic cell
Btla;Dendritic cell
lt3;Dendritic cell
Sept6;Dendritic cell
Slamf7;Dendritic cell
Anpep;Dendritic cell
Bri3bp;Dendritic cell
Cbfa2t3;Dendritic cell
Dpp4;Dendritic cell
Fgl2;Dendritic cell
Haao;Dendritic cell
Jak2;Dendritic cell
Pstpip1;Dendritic cell
Runx3;Dendritic cell
Tbc1d8;Dendritic cell
Adgrf5;Endothelial
Aqp1;Endothelial
Bfnl9;Endothelial
Bmp2;Endothelial
Bng;Endothelial
Calm2;Endothelial
Col4a1;Endothelial
Col4a2;Endothelial
Cdkn1a;Endothelial
Cldn5;Endothelial
Clec14a;Endothelial
Clec4g;Endothelial
Col4a1;Endothelial
Dab2;Endothelial
Dnase1l3;Endothelial
Egfl7;Endothelial
Ehd3;Endothelial
Eng;Endothelial
Epas1;Endothelial
F8;Endothelial
Fabp4;Endothelial
Fcgr2b;Endothelial
Flt1;Endothelial
Gja4;Endothelial
Gng11;Endothelial
Gpihbp1;Endothelial
Gpr182;Endothelial
Igfbp4;Endothelial
Igfbp7;Endothelial
Il6st;Endothelial
Kdr;Endothelial
Lifr;Endothelial
Ltbp4;Endothelial
Maf;Endothelial
Meis2;Endothelial
Mylip;Endothelial
Nrp1;Endothelial
Oit3;Endothelial
Pbx1;Endothelial
Plpp3;Endothelial
Plxnd1;Endothelial
Ptn;Endothelial
Ptprb;Endothelial
Sema6a;Endothelial
Sox17;Endothelial
Sparc;Endothelial
Stab2;Endothelial
Timp3;Endothelial
Tspan7;Endothelial
Vwf;Endothelial
Eaf2;Endothelial
Icam1;Hepatoblast
Epcam;Hepatoblast
Cdh1;Hepatoblast
Onecut3;Hepatoblast
Afp;Hepatoblast
Agt;Hepatoblast
Fgg;Hepatoblast
Gsta1;Hepatoblast
Id3;Hepatoblast
Lin28b;Hepatoblast
Etv5;Hepatoblast
Lgr5;Hepatoblast
Tbx3;Hepatoblast
Foxm1;Hepatoblast
Kit;Hepatoblast
Onecut1;Hepatoblast
Onecut2;Hepatoblast
Notch2;Hepatoblast
Hnf1b;Hepatoblast
Hes1;Hepatoblast
Foxa2;Hepatoblast
Foxa3;Hepatoblast
Hhex;Hepatoblast
Sall4;Hepatoblast
Hnf4a;Hepatoblast
Alb;Hepatoblast
Krt19;Hepatoblast
Epcam;Hepatoblast
Tacstd2;Hepatoblast
Anpep;Hepatoblast
Itga6;Hepatoblast
Cd133;Hepatoblast
Thy1;Hepatoblast
Fgf7;Hepatoblast
Sox9;Hepatoblast
Krt18;Hepatoblast
Cebpa;Hepatoblast
Mki67;Hepatoblast
Krt7;Hepatoblast
Tmem45b;Hepatoblast
Igdcc4;Hepatoblast
Ptprcap;Hepatoblast
Atxn1;Hepatoblast
Fosl1;Hepatocyte
Eppk1;Hepatocyte
Ucp2;Hepatocyte
Gck;Hepatocyte
Lrp5;Hepatocyte
Slc10a1;Hepatocyte
Nos2;Hepatocyte
Atp7b;Hepatocyte
Gjb2;Hepatocyte
Fgfr4;Hepatocyte
Prox1;Hepatocyte
Crp;Hepatocyte
Slc2a2;Hepatocyte
Tfr2;Hepatocyte
Kif13b;Hepatocyte
Lipc;Hepatocyte
Vdr;Hepatocyte
Asgr1;Hepatocyte
Arg1;Hepatocyte
G6pc;Hepatocyte
Otc;Hepatocyte
Ugt1a1;Hepatocyte
Zhx2;Hepatocyte
Foxa1;Hepatocyte
